"","timestamp","lon","lat","UTMlon","UTMlat","timediff","vLon","vLat"
"335105",2015-07-13 11:09:16,-97.729383758,30.283952129,622202.569763407,3350933.61155529,0,-15.7346223912124,-0.981250823941082
"335119",2015-07-13 11:09:19,-97.729874807,30.283930333,622155.365896233,3350930.66780281,3,4.12947258901679,0.294780135516905
"335159",2015-07-13 11:09:28,-97.729488148,30.283950519,622192.531149534,3350933.32082403,9,-2.11715375317726,-0.48038908286641
"335225",2015-07-13 11:09:43,-97.729819118,30.283888712,622160.773843237,3350926.11498779,15,4.00288061917915,0.43724474698926
"335239",2015-07-13 11:09:46,-97.72969413,30.283899335,622172.782485094,3350927.42672203,3,-15.6782989604787,-2.01054211783533
"335253",2015-07-13 11:09:49,-97.730183781,30.283849662,622125.747588213,3350921.39509568,3,9.31908197002485,1.55522739173224
"335264",2015-07-13 11:09:52,-97.72989261,30.283888936,622153.704834123,3350926.06077785,3,-6.02924015423438,-0.429003373254091
"335277",2015-07-13 11:09:55,-97.73008079,30.283879149,622135.61711366,3350924.77376773,3,1.97649085673038,0.445505302709838
"335288",2015-07-13 11:09:58,-97.730018995,30.283890609,622141.54658623,3350926.11028364,3,7.3474286699978,0.678088005864993
"335310",2015-07-13 11:10:04,-97.729560242,30.283922868,622185.63115825,3350930.17881168,6,5.34600277085944,0.459429714207848
"335335",2015-07-13 11:10:10,-97.729226476,30.283944501,622217.707174875,3350932.93538996,6,-6.67600754554151,-0.838926309905946
"335360",2015-07-13 11:10:20,-97.729921454,30.283875549,622150.94709942,3350924.54612686,10,0.424894109193701,0.288446055492386
"335373",2015-07-13 11:10:22,-97.729912553,30.283880668,622151.796887638,3350925.12301897,2,2.1358215190315,-0.302913914900273
"335387",2015-07-13 11:10:25,-97.72984605,30.283871823,622158.204352195,3350924.21427723,3,-1.17212235674378,0.0840184828266501
"334422",2015-07-13 11:10:29,-97.72989475,30.283875328,622153.515862768,3350924.55035116,4,3.62857837084448,-0.165924502769485
"334436",2015-07-13 11:10:31,-97.729819347,30.283871602,622160.77301951,3350924.21850216,2,2.83917964304176,-0.128565238167842
"334450",2015-07-13 11:10:34,-97.729730848,30.283867263,622169.290558439,3350923.83280644,3,1.5628622333752,-0.112022037773083
"334464",2015-07-13 11:10:37,-97.729682147,30.283863758,622173.979145139,3350923.49674033,3,-0.0434658055504163,-0.121745277817051
"334477",2015-07-13 11:10:40,-97.729683545,30.283860476,622173.848747723,3350923.13150449,3,-0.706607689421313,0.113431581916908
"334491",2015-07-13 11:10:43,-97.729705542,30.28386376,622171.728924654,3350923.47179924,3,-0.376629710313864,0.139732975667963
"334504",2015-07-13 11:10:46,-97.729717239,30.283867656,622170.599035523,3350923.89099817,3,-0.136833078577183,0.210285611295452
"334517",2015-07-13 11:10:49,-97.729721433,30.283873389,622170.188536288,3350924.521855,3,0.859472562481339,-0.286369565098236
"334531",2015-07-13 11:10:52,-97.729694729,30.283865378,622172.766953975,3350923.66274631,3,0.40750398687087,-0.118675290420651
"334545",2015-07-13 11:10:57,-97.729673617,30.283859819,622174.80447391,3350923.06936985,5,-3.46935560903512,0.155563276261091
"334560",2015-07-13 11:10:59,-97.729745712,30.283863326,622167.865762691,3350923.38049641,2,-0.376629245467484,0.1396961643671
"334574",2015-07-13 11:11:02,-97.729757409,30.283867221,622166.735874955,3350923.7995849,3,0.924662881647237,-0.103715056669898
"334588",2015-07-13 11:11:06,-97.729719008,30.283863105,622170.434526482,3350923.38472467,4,1.84932655107696,-0.207484904909506
"334602",2015-07-13 11:11:08,-97.729680607,30.283858988,622174.133179584,3350922.96975486,2,1.84934258453238,-0.207465478063871
"334617",2015-07-13 11:11:11,-97.729623005,30.283852813,622179.681207337,3350922.34735843,3,0.709803028963506,-0.0321309455903247
"334631",2015-07-13 11:11:15,-97.729593505,30.283851367,622182.520419453,3350922.21883465,4,0.286480194539763,-0.095444031059742
"334644",2015-07-13 11:11:18,-97.729584604,30.283848697,622183.379860037,3350921.93250255,3,-0.376629516210717,0.139695637083302
"334657",2015-07-13 11:11:21,-97.729596301,30.283852592,622182.249971488,3350922.35158946,3,-0.616458540898748,0.0691794200489918
"334669",2015-07-13 11:11:24,-97.729615502,30.283854651,622180.400595866,3350922.55912772,3,-1.56282999913674,0.111984542881449
"334682",2015-07-13 11:11:27,-97.729664202,30.283858155,622175.712105868,3350922.89508135,3,-1.8960262099669,0.37350005361562
"334696",2015-07-13 11:11:30,-97.729723202,30.283868838,622170.024027238,3350924.01558151,3,-2.13257253115686,0.0151697501229743
"334709",2015-07-13 11:11:33,-97.729789704,30.283869894,622163.626309645,3350924.06109076,3,-2.46898479464774,0.564354588122418
"334723",2015-07-13 11:11:36,-97.729866506,30.283885916,622156.219355261,3350925.75415453,3,-2.74902970320545,0.0843167266187568
"334737",2015-07-13 11:11:39,-97.729952209,30.28388903,622147.972266151,3350926.00710471,3,-2.4223004525605,0.398361006596436
"334751",2015-07-13 11:11:42,-97.730027613,30.283900545,622140.705364794,3350927.20218773,3,-2.75224562493774,0.372062822338194
"334763",2015-07-13 11:11:45,-97.730113316,30.283911448,622132.448627919,3350928.3183762,3,-2.74899613752495,0.084286095884939
"334776",2015-07-13 11:11:48,-97.730199018,30.283914561,622124.201639506,3350928.57123448,3,-2.49149030970875,0.206412240630016
"334789",2015-07-13 11:11:52,-97.730302523,30.283923015,622114.235678267,3350929.39688345,4,-2.27899408224039,0.350608965847641
"334803",2015-07-13 11:11:54,-97.730349824,30.283929801,622109.677690103,3350930.09810138,2,-2.13578655388361,0.302923678110043
"334816",2015-07-13 11:11:57,-97.730416326,30.283938646,622103.270330441,3350931.00687241,3,-1.84930663361835,0.207441731976966
"334830",2015-07-13 11:12:00,-97.730473927,30.28394482,622097.72241054,3350931.62919761,3,-1.47264642734081,0.0677443273986379
"334843",2015-07-13 11:12:03,-97.73051983,30.283947099,622093.304471258,3350931.83243059,3,-1.23606534123731,0.426074868688981
"334858",2015-07-13 11:12:06,-97.73055823,30.283959005,622089.596275235,3350933.1106552,3,-1.18616718263365,-0.0277011326203744
"334872",2015-07-13 11:12:09,-97.730595232,30.283958614,622086.037773687,3350933.0275518,3,-0.902935604797676,0.164594461054852
"334886",2015-07-13 11:12:12,-97.730623334,30.283963342,622083.328966872,3350933.52133518,3,-0.902903452399187,0.164595041268816
"334901",2015-07-13 11:12:15,-97.730651435,30.28396807,622080.620256515,3350934.0151203,3,-0.179847661202075,-0.0529129666974768
"334915",2015-07-13 11:12:19,-97.730658938,30.283966233,622079.90086587,3350933.80346844,4,0.494967202539556,0.0393924140371382
"334929",2015-07-13 11:12:21,-97.730648638,30.283966844,622080.890800275,3350933.88225327,2,12.5088921977828,-1.4715994480066
"334944",2015-07-13 11:12:24,-97.730259043,30.28392323,622118.417476869,3350929.46745492,3,3.27129320095992,-0.487569194752723
"334959",2015-07-13 11:12:28,-97.730123243,30.283904315,622131.502649673,3350927.51717814,4,1.34953246871009,0.184726996347308
"334973",2015-07-13 11:12:30,-97.730095142,30.283907376,622134.20171461,3350927.88663214,2,-0.616425745654851,0.069182469509542
"334987",2015-07-13 11:12:33,-97.730114342,30.283909435,622132.352437373,3350928.09417954,3,0.333162790707623,-0.261479376504819
"335001",2015-07-13 11:12:36,-97.730104043,30.283902257,622133.351925745,3350927.30974141,3,-0.423311843924845,0.305731388740242
"335015",2015-07-13 11:12:39,-97.730117138,30.28391066,622132.081990213,3350928.22693558,3,-0.376628983144959,0.139734320497761
"335029",2015-07-13 11:12:42,-97.730128835,30.283914556,622130.952103264,3350928.64613854,3,1.45459343524999,-0.188821504474618
"335043",2015-07-13 11:12:46,-97.730068438,30.283907155,622136.770477005,3350927.89085252,4,1.05986170412507,-0.170095857931301
"335055",2015-07-13 11:12:48,-97.730046442,30.283903872,622138.890200413,3350927.55066081,2,0.0466833316410581,-0.166034026692311
"335067",2015-07-13 11:12:51,-97.730045044,30.283899364,622139.030250408,3350927.05255873,3,-0.21485971819493,0.0715838826727122
"335080",2015-07-13 11:12:55,-97.730053945,30.283902034,622138.170811535,3350927.33889426,4,-0.993054465545962,0.208879481535405
"335092",2015-07-13 11:12:58,-97.730084842,30.283907988,622135.191648139,3350927.9655327,3,-0.946403588556374,0.0428822801137964
"335106",2015-07-13 11:13:01,-97.730114342,30.283909435,622132.352437373,3350928.09417954,3,-1.65297785863125,0.156280364996443
"335120",2015-07-13 11:13:04,-97.730165838,30.283914165,622127.393503797,3350928.56302064,3,2.60259809616643,-0.486904855196675
"335133",2015-07-13 11:13:07,-97.730084842,30.283900199,622135.201298086,3350927.10230607,3,-0.106213092299489,0.00690398970618844
"335146",2015-07-13 11:13:10,-97.730088152,30.283900418,622134.882658809,3350927.12301804,3,1.27956623789699,-0.304324339299152
"335160",2015-07-13 11:13:13,-97.730048353,30.283891794,622138.721357522,3350926.21004502,3,1.74312798663353,-0.200567529071122
"335173",2015-07-13 11:13:16,-97.729994061,30.283885838,622143.950741482,3350925.60834244,3,0.753258160043818,-0.27943078118066
"335187",2015-07-13 11:13:19,-97.729970667,30.283878047,622146.210515962,3350924.77005009,3,0,0
"335200",2015-07-13 11:13:22,-97.729970667,30.283878047,622146.210515962,3350924.77005009,3,-0.333162776621369,0.261442053907861
"335213",2015-07-13 11:13:25,-97.729980966,30.283885224,622145.211027633,3350925.55437626,3,-0.706575093907304,0.113433777509878
"335226",2015-07-13 11:13:28,-97.730002962,30.283888508,622143.091302351,3350925.89467759,3,-0.32994583582816,-0.0263000673924883
"335240",2015-07-13 11:13:31,-97.730013261,30.283887896,622142.101464843,3350925.81577739,3,-1.69966171060999,0.322312940532962
"335254",2015-07-13 11:13:34,-97.730066155,30.283897134,622137.002479712,3350926.78271621,3,-0.706606967607513,0.113433944992721
"335265",2015-07-13 11:13:37,-97.730088152,30.283900418,622134.882658809,3350927.12301804,3,1.48960594035452,-0.31331879820209
"335278",2015-07-13 11:13:41,-97.730026357,30.28388851,622140.84108257,3350925.86974285,4,2.40623718535062,-0.435745948459953
"335289",2015-07-13 11:13:44,-97.729951467,30.283875988,622148.059794126,3350924.562505,3,0.919861045957077,0.327896888600662
"335299",2015-07-13 11:13:46,-97.729932266,30.283881719,622149.899516218,3350925.21829878,2,0.0350123222160619,-0.124497782322578
"335311",2015-07-13 11:13:50,-97.729930868,30.283877212,622150.039565507,3350924.72030765,4,0.359695048362482,0.105828252620995
"335322",2015-07-13 11:13:52,-97.729923365,30.283879049,622150.758955604,3350924.93196416,2,1.369716201288,-0.348574332892895
"335336",2015-07-13 11:13:55,-97.72988077,30.2838692,622154.868104208,3350923.88624116,3,0.616425766958855,-0.0691442692962786
"335388",2015-07-13 11:13:58,-97.72986157,30.283867142,622156.717381508,3350923.67880835,3,-1.21682001762868,0.175673253523807
"335389",2015-07-13 11:14:01,-97.729899457,30.283872265,622153.066921456,3350924.20582811,3,0.899688422485876,0.123153105378151
"335390",2015-07-13 11:14:04,-97.729871356,30.283875326,622155.765986723,3350924.57528743,3,0.939628291851841,-0.239859927631915
"335391",2015-07-13 11:14:09,-97.729822656,30.283864032,622160.464128182,3350923.37598779,5,0.564944374084007,-0.209599980618805
"335392",2015-07-13 11:14:11,-97.729810959,30.283860136,622161.59401693,3350922.95678783,2,1.05988737349981,-0.170148520031944
"335393",2015-07-13 11:14:15,-97.729766966,30.283853568,622165.833566424,3350922.27619375,4,-1.65619716824343,0.44405450935786
"335394",2015-07-13 11:14:18,-97.729818462,30.283866088,622160.86497492,3350923.60835728,3,1.83649608248379,-0.532594928983599
"335395",2015-07-13 11:14:21,-97.729761374,30.283851117,622166.374463167,3350922.01057249,3,-1.27956763573457,0.304321141137431
"335396",2015-07-13 11:14:24,-97.729801173,30.283859741,622162.53576026,3350922.92353591,3,-1.93945958383847,0.251757479428003
"335397",2015-07-13 11:14:27,-97.72986157,30.283867142,622156.717381508,3350923.67880835,3,-4.34569579929424,0.687429947312921
"335398",2015-07-13 11:14:30,-97.729996857,30.283887063,622143.680294111,3350925.74109819,3,-3.96907343933708,0.547766021569259
"335399",2015-07-13 11:14:34,-97.730161644,30.283908432,622127.804000353,3350927.93216228,4,-1.94264145812485,0.539469209654878
"335400",2015-07-13 11:14:37,-97.73022204,30.283923621,622121.976075979,3350929.55056991,3,-0.196362461235064,0.0511931584527095
"335401",2015-07-13 11:14:40,-97.730228146,30.283925066,622121.386988595,3350929.70414938,3,0.136864114785567,-0.210285833105445
"335402",2015-07-13 11:14:43,-97.730223951,30.283919333,622121.797580939,3350929.07329188,3,-3.26570439261074,0.722051859212418
"335403",2015-07-13 11:14:46,-97.730325545,30.283939864,622112.000467762,3350931.23944746,3,0.0434664466495936,0.121745011614015
"335404",2015-07-13 11:14:49,-97.730324147,30.283943146,622112.130867102,3350931.6046825,3,-1.20710876170779,0.208521560416557
"335405",2015-07-13 11:14:53,-97.730374244,30.283951158,622107.302432055,3350932.43876874,4,-3.68258149650258,0.452304486030092
"335406",2015-07-13 11:14:56,-97.730488933,30.283964514,622096.254687565,3350933.7956822,3,-2.36276551142024,0.557465197208027
"335407",2015-07-13 11:14:59,-97.730562425,30.283980317,622089.166391031,3350935.46807779,3,-0.994659907359164,0.352717988193035
"335408",2015-07-13 11:15:01,-97.730583023,30.283986882,622087.177071216,3350936.17351376,2,-0.214859157975297,0.0715848865220323
"335409",2015-07-13 11:15:05,-97.730591924,30.283989552,622086.317634584,3350936.45985331,4,-0.424895268050022,-0.288443471770734
"335410",2015-07-13 11:15:07,-97.730600825,30.283984433,622085.467844048,3350935.88296637,2,2.44969848869368,-0.313976131379604
"335411",2015-07-13 11:15:10,-97.730524537,30.283975194,622092.816939514,3350934.94103797,3,-1.64363560995553,0.418298925552517
"335412",2015-07-13 11:15:15,-97.730609726,30.283994892,622084.598761465,3350937.0325326,5,2.1245915229083,-0.771869680611417
"335413",2015-07-13 11:15:17,-97.730565733,30.283980536,622088.84794451,3350935.48879324,2,2.82952329656109,-0.372447395930067
"335414",2015-07-13 11:15:21,-97.730448249,30.283965954,622100.166037697,3350933.99900366,4,0.376627949299291,-0.139698421272139
"335415",2015-07-13 11:15:24,-97.730436552,30.283962059,622101.295921545,3350933.57990839,3,-0.709789706549297,0.40117877892529
"335416",2015-07-13 11:15:27,-97.730458548,30.283973132,622099.166552425,3350934.78344473,3,-2.02960436038362,0.296020940722277
"335417",2015-07-13 11:15:30,-97.730521741,30.283981758,622093.077739344,3350935.67150755,3,2.02960436038362,-0.296020940722277
"335418",2015-07-13 11:15:33,-97.730458548,30.283973132,622099.166552425,3350934.78344473,3,-3.11280583547583,0.549156823195517
"335419",2015-07-13 11:15:36,-97.730555434,30.283988937,622089.828134918,3350936.4309152,3,-2.40623129923673,0.435721673381825
"335420",2015-07-13 11:15:39,-97.730630324,30.284001458,622082.609441021,3350937.73808022,3,-1.55721386228106,0.346515979501419
"335421",2015-07-13 11:15:43,-97.730694915,30.284014591,622076.380585572,3350939.12414414,4,-0.989836525637656,-0.0788941404316574
"335422",2015-07-13 11:15:45,-97.730715513,30.284013367,622074.40091252,3350938.96635586,2,0,0
"335423",2015-07-13 11:15:48,-97.730715513,30.284013367,622074.40091252,3350938.96635586,3,-2.78285763028543,0.575461551857491
"335424",2015-07-13 11:15:51,-97.7308021,30.284029784,622066.05233963,3350940.69274051,3,-1.03655060008168,0.0871407940673331
"335425",2015-07-13 11:15:54,-97.730834396,30.284032456,622062.942687829,3350940.95416289,3,-0.706572606267097,0.113402097020298
"335426",2015-07-13 11:15:57,-97.730856392,30.284035739,622060.82297001,3350941.29436918,3,-0.663105985537792,0.235183957808961
"335427",2015-07-13 11:16:00,-97.73087699,30.284042305,622058.833652054,3350941.99992106,3,-3.60934282443486,0.653592630987987
"335428",2015-07-13 11:16:02,-97.73095188,30.284054826,622051.614966405,3350943.30710632,2,3.06933453516103,-0.670912378467619
"335429",2015-07-13 11:16:05,-97.730856392,30.284035739,622060.82297001,3350941.29436918,3,3.39606589234124,-0.356832806952298
"335430",2015-07-13 11:16:08,-97.730750605,30.284025054,622071.011167687,3350940.22387076,3,5.09897161344998,-0.966912644682452
"335431",2015-07-13 11:16:10,-97.730644817,30.284006579,622081.209110914,3350938.29004547,2,3.44596584280953,-0.810602918577691
"335432",2015-07-13 11:16:13,-97.730537632,30.283983597,622091.547008443,3350935.85823672,3,1.03651936736424,-0.0871384618803859
"335433",2015-07-13 11:16:16,-97.730505337,30.283980925,622094.656566545,3350935.59682133,3,1.69965840212535,-0.322282502272477
"335434",2015-07-13 11:16:19,-97.730452443,30.283971688,622099.755541751,3350934.62997383,3,6.46541170973796,-1.02775395040711
"335435",2015-07-13 11:16:22,-97.730251168,30.283941915,622119.15177688,3350931.54671197,3,5.14241572613052,-0.845162988485148
"335436",2015-07-13 11:16:25,-97.730091089,30.283917484,622134.579024059,3350929.01122301,3,-0.329945750495729,-0.0262998136070867
"335437",2015-07-13 11:16:28,-97.730101388,30.283916872,622133.589186807,3350928.93232357,3,2.69271538841228,-0.53115568185846
"335438",2015-07-13 11:16:31,-97.730017597,30.283901681,622141.667332973,3350927.33885652,3,2.73618272854947,-0.409445484013607
"335439",2015-07-13 11:16:34,-97.729932408,30.283889771,622149.875881158,3350926.11052007,3,1.039738111586,-0.374875193151335
"335440",2015-07-13 11:16:37,-97.729900113,30.28387931,622152.995095493,3350924.98589449,3,-1.80467769355164,0.326780941803008
"335441",2015-07-13 11:16:41,-97.729975003,30.283891831,622145.776384719,3350926.29301826,4,-6.18215497358081,1.2200351000453
"335442",2015-07-13 11:16:44,-97.730167377,30.283926723,622127.229919798,3350929.95312356,3,-4.10909535578685,1.04578994889744
"335443",2015-07-13 11:16:46,-97.730252566,30.283946422,622119.011729087,3350932.04470346,2,0.993085373231831,-0.208843629962454
"335444",2015-07-13 11:16:49,-97.730221668,30.283940469,622121.990985206,3350931.41817257,3,3.39928917590684,-0.644630052770177
"335445",2015-07-13 11:16:52,-97.730115881,30.283921993,622132.188852734,3350929.48428241,3,3.77591928300293,-0.784323908233394
"335446",2015-07-13 11:16:55,-97.729998397,30.283899622,622143.516610583,3350927.13131068,3,0.735873762906219,-0.032901906222105
"336318",2015-07-13 11:17:10,-97.729883708,30.283894056,622154.554717027,3350926.63778209,15,-0.623862047400326,0.224924810323864
"336319",2015-07-13 11:17:15,-97.729916004,30.283904517,622151.43540679,3350927.76240614,5,-4.76575731420113,0.705458271317184
"336320",2015-07-13 11:17:18,-97.730064385,30.283925053,622137.138134847,3350929.87878096,3,-3.77594943798613,0.784288768656552
"336321",2015-07-13 11:17:21,-97.73018187,30.283947423,622125.810286533,3350932.23164726,3,0.659891314571723,0.0525991921313107
"336322",2015-07-13 11:17:24,-97.730161272,30.283948647,622127.789960477,3350932.38944484,3,-0.329945655345606,-0.0262996110444268
"335447",2015-07-13 11:17:27,-97.730171571,30.283948035,622126.800123511,3350932.31054601,3,2.05457158928039,-0.522865925682709
"335458",2015-07-13 11:17:29,-97.730128976,30.283938186,622130.909266689,3350931.26481415,2,1.52220487981685,-0.222010480123572
"335469",2015-07-13 11:17:33,-97.730065783,30.28392956,622136.998086208,3350930.37677223,4,3.39607320784125,-0.356846263787399
"335480",2015-07-13 11:17:36,-97.729959996,30.283918874,622147.186305832,3350929.30623344,3,0.529931196855614,-0.0850751310354099
"335491",2015-07-13 11:17:40,-97.729938,30.28391559,622149.306030619,3350928.96593292,4,-0.286479676646801,0.0954449096073707
"335502",2015-07-13 11:17:43,-97.729946901,30.28391826,622148.446591589,3350929.25226765,3,2.90918690065155,-0.377582953777164
"335514",2015-07-13 11:17:45,-97.729886504,30.28391086,622154.264965391,3350928.49710174,2,-0.283294669507692,-0.192297797650099
"335526",2015-07-13 11:17:48,-97.729895406,30.283905741,622153.415081382,3350927.92020835,3,0.70660716171066,-0.113432751813283
"335538",2015-07-13 11:17:51,-97.729873409,30.283902457,622155.534902867,3350927.57991009,3,-0.70660716171066,0.113432751813283
"335550",2015-07-13 11:17:54,-97.729895406,30.283905741,622153.415081382,3350927.92020835,3,0.659923991149602,0.0525642711048325
"335562",2015-07-13 11:17:57,-97.729874807,30.283906964,622155.394853356,3350928.07790116,3,-2.8697981047444,0.331987765928109
"335574",2015-07-13 11:18:00,-97.72996419,30.283916818,622146.785459041,3350929.07386446,3,-1.83649381514018,0.53259815617154
"335586",2015-07-13 11:18:03,-97.730021278,30.283931789,622141.275977596,3350930.67165893,3,-0.706574301041352,0.113397078899046
"335598",2015-07-13 11:18:06,-97.730043274,30.283935072,622139.156254693,3350931.01185016,3,-1.03655240242369,0.0871339081786573
"335610",2015-07-13 11:18:09,-97.73007557,30.283937744,622136.046597486,3350931.27325189,3,-2.78286350409811,0.575446018017828
"335622",2015-07-13 11:18:12,-97.730162157,30.283954161,622127.698006973,3350932.99958994,3,-1.36968241077072,0.348614977362255
"335634",2015-07-13 11:18:15,-97.730204751,30.283964011,622123.588959741,3350934.04543487,3,-2.58450127652031,0.607972119702026
"335645",2015-07-13 11:18:19,-97.730311937,30.283986994,622113.250954635,3350936.47732335,4,-0.283262655643436,-0.192333303702374
"335656",2015-07-13 11:18:22,-97.730320838,30.283981874,622112.401166668,3350935.90032344,3,-2.05452222004533,0.522925302386284
"335666",2015-07-13 11:18:24,-97.730363432,30.283991724,622108.292122228,3350936.94617405,2,-2.30202847745386,0.50317411404103
"335677",2015-07-13 11:18:28,-97.730458921,30.284010811,622099.084008318,3350938.9588705,4,-4.10426499409368,0.614131648093462
"335689",2015-07-13 11:18:30,-97.73054411,30.28402272,622090.87547833,3350940.1871338,2,-0.286478810633222,0.0954464166425169
"335701",2015-07-13 11:18:33,-97.730553011,30.28402539,622090.016041898,3350940.47347305,3,2.4529137215189,-0.601754219581684
