"","timestamp","lon","lat","UTMlon","UTMlat","timediff","vLon","vLat"
"456732",2015-07-18 21:13:01,-97.741652445,30.307758611,620993.288245232,3353558.86121203,0,-3.47522752563236,-0.605503618872414
"456760",2015-07-18 21:13:07,-97.741869677,30.307727919,620972.436880079,3353555.22819031,6,4.43090565293096,0.297446993179619
"456775",2015-07-18 21:13:09,-97.741777463,30.3077324,620981.298691384,3353555.8230843,2,-1.08399607257646,-0.0439823428556944
"456816",2015-07-18 21:13:21,-97.741912781,30.307728939,620968.290738513,3353555.29529619,12,-0.328352840074028,-0.170157799652467
"456842",2015-07-18 21:13:27,-97.741933384,30.307719925,620966.320621473,3353554.27434939,6,1.67148555330156,0.192340749781579
"456866",2015-07-18 21:13:33,-97.74182897,30.307729334,620976.349534793,3353555.42839389,6,-1.38385473522358,-0.283127105049789
"456880",2015-07-18 21:13:38,-97.74190108,30.307717254,620969.430261117,3353554.01275836,5,4.93968740198761,1.25780517514795
"456893",2015-07-18 21:13:39,-97.741849572,30.307728108,620974.369948519,3353555.27056354,1,-0.197977862297557,-0.0157832210883498
"456907",2015-07-18 21:13:44,-97.741859874,30.307727495,620973.380059207,3353555.19164743,5,-2.46979568601819,-0.628901828546077
"456919",2015-07-18 21:13:46,-97.741911381,30.307716641,620968.440467835,3353553.93384377,2,0.494920371565968,0.0394852894823998
"456930",2015-07-18 21:13:50,-97.741890778,30.307717868,620970.420149321,3353554.09178493,4,-0.329962734909107,-0.0263421901812156
"456943",2015-07-18 21:13:53,-97.74190108,30.307717254,620969.430261117,3353554.01275836,3,0.329962734909107,0.0263421901812156
"456956",2015-07-18 21:13:56,-97.741890778,30.307717868,620970.420149321,3353554.09178493,3,0.816033461169961,-1.88425301512082
"456969",2015-07-18 21:13:59,-97.741865974,30.307666624,620972.868249705,3353548.43902589,3,-1.36691432547135,1.53783160960302
"456983",2015-07-18 21:14:02,-97.741908082,30.307708657,620968.767506729,3353553.05252072,3,1.68093503654624,-0.073072055199494
"456997",2015-07-18 21:14:05,-97.741855672,30.307706175,620973.810311838,3353552.83330455,3,-0.39694730201154,0.234045415068977
"457010",2015-07-18 21:14:09,-97.741872074,30.30771478,620972.22252263,3353553.76948621,4,0.12428635933126,0.940045525009433
"457025",2015-07-18 21:14:12,-97.741867872,30.307740186,620972.595381708,3353556.58962279,3,-0.149389487846444,-0.115488495522489
"457039",2015-07-18 21:14:15,-97.741872572,30.307737105,620972.147213245,3353556.2431573,3,0.336159328056965,0.0486159194260836
"457053",2015-07-18 21:14:17,-97.74186557,30.307737915,620972.819531901,3353556.34038914,2,-0.00687082108925097,-0.460395181784406
"457068",2015-07-18 21:14:21,-97.741866068,30.307721303,620972.792048616,3353554.49880841,4,-0.153954251669347,-0.422399969538674
"457080",2015-07-18 21:14:23,-97.741869367,30.307713712,620972.484140113,3353553.65400847,2,-0.109626935329288,-0.302367609576322
"457092",2015-07-18 21:14:27,-97.741874066,30.307702844,620972.045632372,3353552.44453803,4,0.205512184475083,-0.316055139061064
"457104",2015-07-18 21:14:29,-97.741869865,30.3076971,620972.456656741,3353551.81242776,2,-0.283209459041245,-0.192453734887143
"457117",2015-07-18 21:14:32,-97.741878766,30.307691976,620971.607028364,3353551.23506655,3,0.0966636843513697,-0.619965884368867
"457131",2015-07-18 21:14:35,-97.741875965,30.307675167,620971.897019417,3353549.3751689,3,-0.233267576356108,-0.646270820405334
"457144",2015-07-18 21:14:38,-97.741883465,30.307657745,620971.197216687,3353547.43635644,3,0.0499099128258725,-0.453817456805458
"457157",2015-07-18 21:14:41,-97.741882065,30.307645447,620971.346946426,3353546.07490407,3,-0.373496500658803,-0.147862095075349
"457170",2015-07-18 21:14:44,-97.741893767,30.307641557,620970.226456924,3353545.63131778,3,0.333151596365497,-0.26136340930437
"457182",2015-07-18 21:14:47,-97.741883465,30.307634383,620971.225911713,3353544.84722755,3,-0.0467533593376478,0.166111486187826
"457194",2015-07-18 21:14:50,-97.741884866,30.307638893,620971.085651635,3353545.34556201,3,0.00478229264263064,-0.431503008352593
"457206",2015-07-18 21:14:52,-97.741884866,30.307631106,620971.09521622,3353544.48255599,2,-0.326742803600306,-0.314010517516484
