"","timestamp","lon","lat","UTMlon","UTMlat","timediff","vLon","vLat"
"443140",2015-07-18 07:34:58,-97.741035213,30.287690864,621077.299431238,3351335.48382776,0,15.6759413138498,-6.73559639882296
"443155",2015-07-18 07:35:00,-97.740710834,30.287566191,621108.651313865,3351322.01263496,2,-1.67432240606286,1.79912807699293
"443171",2015-07-18 07:35:04,-97.740779629,30.287631788,621101.954024241,3351329.20914727,4,4.75373299926287,-2.36765212425962
"443184",2015-07-18 07:35:06,-97.740681336,30.287588115,621111.46149024,3351324.47384302,2,-11.4976075527957,2.77144995541312
"443212",2015-07-18 07:35:12,-97.741396589,30.287745038,621042.475844923,3351341.10254275,6,-0.167791800922714,-1.13200957735535
"443226",2015-07-18 07:35:16,-97.741404088,30.287704253,621041.804677719,3351336.57450444,4,-9.38428795908112,-2.47594624268822
"443239",2015-07-18 07:35:18,-97.741599775,30.287661453,621023.036101801,3351331.62261195,2,-3.97633264827891,2.3023174861446
"443253",2015-07-18 07:35:22,-97.741764065,30.287746129,621007.130771208,3351340.8318819,4,-1.50329798908206,-0.606320025864989
"443268",2015-07-18 07:35:24,-97.741795461,30.287735489,621004.12417523,3351339.61924185,2,-6.88316681896686,3.57122326956596
"443282",2015-07-18 07:35:28,-97.742080044,30.287867119,620976.591507954,3351353.90413493,4,-7.14868432376534,1.05816267523915
"443294",2015-07-18 07:35:30,-97.742228435,30.287887641,620962.294139306,3351356.02046028,2,-1.34960596414749,0.922399946721271
"443307",2015-07-18 07:35:34,-97.742284132,30.287921468,620956.89571545,3351359.71006006,4,-1.70463009667583,1.49203748768196
"443320",2015-07-18 07:35:36,-97.742319231,30.287948731,620953.486455256,3351362.69413504,2,-1.46635323239025,0.968427595682442
"443331",2015-07-18 07:35:39,-97.742364629,30.287975382,620949.087395559,3351365.59941783,3,1.37779586133547,4.41459672308217
"443342",2015-07-18 07:35:42,-97.742320134,30.288094455,620953.220783143,3351378.84320799,3,-0.0998273966833949,0.907559098986288
"443355",2015-07-18 07:35:45,-97.742322934,30.288119049,620952.921300953,3351381.56588529,3,-0.703439494982983,-0.174307086349775
"443368",2015-07-18 07:35:48,-97.742344933,30.288114542,620950.810982468,3351381.04296403,3,-1.34884711933167,3.9608139685976
"443380",2015-07-18 07:35:51,-97.742385633,30.28822215,620946.76444111,3351392.92540594,3,-0.621357815378966,7.45958293043077
"443394",2015-07-18 07:35:54,-97.742402436,30.288424238,620944.900367664,3351415.30415473,3,-2.25330300237207,-1.21337178722024
"443405",2015-07-18 07:35:57,-97.742473131,30.288392072,620938.140458657,3351411.66403937,3,8.3959638417388,20.3165697011476
"443419",2015-07-18 07:36:00,-97.742204261,30.288939446,620963.328350182,3351472.61374847,3,1.74770839849953,6.32669280515984
"443432",2015-07-18 07:36:03,-97.742147568,30.289110161,620968.571475378,3351491.59382689,3,0.406719364769136,4.08558859179417
"443444",2015-07-18 07:36:06,-97.742133472,30.28922062,620969.791633472,3351503.85059266,3,-1.26349382634119,-1.13447195415696
"443456",2015-07-18 07:36:09,-97.74217327,30.289190293,620966.001151993,3351500.4471768,3,1.12684780898659,-0.131464806385338
"443469",2015-07-18 07:36:12,-97.742138171,30.289186397,620969.38169542,3351500.05278238,3,5.14248109430385,-0.845170942290376
"443482",2015-07-18 07:36:15,-97.741978078,30.28916198,620984.809138703,3351497.51726955,3,7.5051898182913,-1.402636001197
"443495",2015-07-18 07:36:18,-97.741744489,30.289121766,621007.324708158,3351493.30936155,3,5.10529153763006,-1.54234143734599
"443508",2015-07-18 07:36:21,-97.741585797,30.28907849,621022.640582771,3351488.68233724,3,1.32934708070631,-0.758046665694565
"443521",2015-07-18 07:36:24,-97.741544599,30.289057574,621026.628624013,3351486.40819724,3,1.13960340211634,-1.28246275754645
"443535",2015-07-18 07:36:27,-97.7415095,30.289022521,621030.047434219,3351482.56080897,3,0.365390424694245,-4.61520097979034
"443548",2015-07-18 07:36:30,-97.741499699,30.288897496,621031.143605493,3351468.71520603,3,3.43154118132467,-4.99835351621732
"443562",2015-07-18 07:36:33,-97.741394403,30.288761181,621041.438229037,3351453.72014548,3,8.91489027553083,0.134560646954924
"443575",2015-07-18 07:36:36,-97.741116318,30.288762149,621068.182899864,3351454.12382742,3,9.87919506605249,2.51539815325911
"443587",2015-07-18 07:36:39,-97.740807335,30.288827267,621097.820485062,3351461.67002188,3,8.82179593636344,-1.00966459745541
"443598",2015-07-18 07:36:42,-97.740532549,30.288797292,621124.285872871,3351458.64102809,3,1.95984372772121,-3.64329755575293
"443628",2015-07-18 07:36:51,-97.740352958,30.288499698,621141.924466421,3351425.85135009,9,-1.48473978228867,-0.118327439762652
"443640",2015-07-18 07:36:53,-97.740383856,30.28849786,621138.954986856,3351425.61469521,2,-0.963262805977138,-3.56002381490543
"443652",2015-07-18 07:36:57,-97.740425554,30.288369771,621135.101935632,3351411.37459995,4,-1.46559705596883,-1.84477740642615
"443664",2015-07-18 07:36:59,-97.740456452,30.288336777,621132.17074152,3351407.68504514,2,-0.289583133067936,0.383139591043194
"443677",2015-07-18 07:37:02,-97.740465351,30.288347234,621131.301992121,3351408.83446391,3,-0.759738176634225,0.854980863475551
"443689",2015-07-18 07:37:05,-97.74048875,30.288370603,621129.022777591,3351411.3994065,3,0.709817112695115,-0.401201873396834
"443702",2015-07-18 07:37:08,-97.740466751,30.288359531,621131.152228929,3351410.19580088,3,0.0700954459025525,-0.249055745312944
"443714",2015-07-18 07:37:10,-97.740465351,30.288355023,621131.292419821,3351409.69768939,2,-0.0350477229512762,0.124527872656472
"443727",2015-07-18 07:37:14,-97.740466751,30.288359531,621131.152228929,3351410.19580088,4,0.424802282534074,0.288516089785844
"443740",2015-07-18 07:37:16,-97.740457852,30.288364652,621132.001833494,3351410.77283306,2,-0.283201521689383,-0.192344059857229
"443753",2015-07-18 07:37:19,-97.740466751,30.288359531,621131.152228929,3351410.19580088,3,-0.0700954407220706,0.249055745312944
"443764",2015-07-18 07:37:21,-97.740468151,30.288364039,621131.012038048,3351410.69391237,2,0.280103500001132,0.111008673207834
"443776",2015-07-18 07:37:25,-97.740456452,30.288367933,621132.132452048,3351411.13794706,4,-0.205500184383709,0.315554481232539
"443789",2015-07-18 07:37:27,-97.740460652,30.288373668,621131.721451679,3351411.76905602,2,-0.105143159569707,0.373583615175448
"443804",2015-07-18 07:37:31,-97.740464852,30.288387192,621131.300879041,3351413.26339049,4,0.28465936210705,0.786628116387874
"443818",2015-07-18 07:37:33,-97.740458752,30.288401329,621131.870197765,3351414.83664672,2,0.0280381754040718,-0.099622296448797
"443831",2015-07-18 07:37:38,-97.740457352,30.288396821,621132.010388642,3351414.33853524,5,0.0748816354898736,-0.680668483721092
"443844",2015-07-18 07:37:40,-97.740455952,30.288384524,621132.160151913,3351412.97719827,2,0.090269810326087,-0.0443324901474019
"443856",2015-07-18 07:37:43,-97.740453152,30.288383297,621132.430961344,3351412.8442008,3,0.35470667219488,0.537571879569441
"443869",2015-07-18 07:37:45,-97.740445653,30.288392926,621133.140374688,3351413.91934456,2,0.284914023271995,-0.320631453534588
"443882",2015-07-18 07:37:49,-97.740433953,30.288381241,621134.280030781,3351412.63681874,4,-0.0700955002685077,0.249055728549138
"443895",2015-07-18 07:37:51,-97.740435353,30.288385749,621134.139839781,3351413.1349302,2,0.282496564585017,-0.104797616018914
"443908",2015-07-18 07:37:55,-97.740423654,30.288381854,621135.269826039,3351412.71573974,4,-0.499683903239202,0.392152248648927
"443922",2015-07-18 07:37:57,-97.740433953,30.28838903,621134.270458233,3351413.50004423,2,0.0374408896022942,-0.340334236156195
"443936",2015-07-18 07:38:01,-97.740432553,30.288376733,621134.420221791,3351412.13870729,4,0,0
"443950",2015-07-18 07:38:04,-97.740432553,30.288376733,621134.420221791,3351412.13870729,3,0.0653092282009311,0.182557018008083
"443964",2015-07-18 07:38:06,-97.740431153,30.288380014,621134.550840247,3351412.50382132,2,0.0466982816966871,-0.16603750626867
"443977",2015-07-18 07:38:09,-97.740429754,30.288375506,621134.690935093,3351412.00570881,3,0,0
"443989",2015-07-18 07:38:12,-97.740429754,30.288375506,621134.690935093,3351412.00570881,3,-0.0466982816966871,0.16603750626867
"444001",2015-07-18 07:38:15,-97.740431153,30.288380014,621134.550840247,3351412.50382132,3,0.192931582064678,0.236676618612061
"444012",2015-07-18 07:38:18,-97.740425054,30.288386362,621135.129634994,3351413.21385118,3,0,0
"444023",2015-07-18 07:38:21,-97.740425054,30.288386362,621135.129634994,3351413.21385118,3,0.0467303484911099,-0.16603714817514
"444037",2015-07-18 07:38:24,-97.740423654,30.288381854,621135.269826039,3351412.71573974,3,0.326740847240823,0.314048858049015
"444051",2015-07-18 07:38:27,-97.740413355,30.288390256,621136.250048581,3351413.65788631,3,-0.283201373725509,-0.19234417580689
"443090",2015-07-18 07:38:30,-97.740422254,30.288385135,621135.40044446,3351413.08085378,3,-0.329931742201249,-0.0263070015547176
"443103",2015-07-18 07:38:33,-97.740432553,30.288384522,621134.410649233,3351413.00193278,3,-0.0467303334735334,0.16603715174521
"443115",2015-07-18 07:38:36,-97.740433953,30.28838903,621134.270458233,3351413.50004423,3,-0.0435394839538882,-0.121704677740733
"443128",2015-07-18 07:38:39,-97.740435353,30.288385749,621134.139839781,3351413.1349302,3,-0.42342442603937,0.305766994288812
"443141",2015-07-18 07:38:42,-97.740448453,30.288394152,621132.869566503,3351414.05223118,3,-0.0902377431436131,0.0443328420321147
"443156",2015-07-18 07:38:45,-97.740451252,30.288395379,621132.598853273,3351414.18522971,3,-0.466964259316834,0.184099328393737
"443172",2015-07-18 07:38:48,-97.740465752,30.288400502,621131.197960495,3351414.73752769,3,0.070095423492603,-0.249055744614452
