"","timestamp","lon","lat","UTMlon","UTMlat","timediff","vLon","vLat"
"736470",2015-08-05 06:35:34,-97.729615417,30.28377076,622180.512743865,3350913.26188306,0,-8.86288446199615,3.41347587737255
"736479",2015-08-05 06:35:36,-97.729798891,30.283834141,622162.786974941,3350920.08883482,2,3.65845668696178,-3.77676178142428
"736489",2015-08-05 06:35:39,-97.729686114,30.283730812,622173.762345002,3350908.75854948,3,1.81716497859452,2.67014138943826
"736498",2015-08-05 06:35:42,-97.729628512,30.283802532,622179.213839938,3350916.76897364,3,-5.42572057119105,0.652844232817491
"736507",2015-08-05 06:35:45,-97.729797493,30.283821844,622162.936678225,3350918.72750634,3,5.18753581552301,-6.34996212475623
"736516",2015-08-05 06:35:48,-97.729637927,30.283648406,622178.499285671,3350899.67761997,3,-7.33140132832341,3.36578120974203
"736526",2015-08-05 06:35:51,-97.729865393,30.283741723,622156.505081686,3350909.7749636,3,-0.542418923112564,2.93984701655184
"736536",2015-08-05 06:35:54,-97.729881284,30.283821457,622154.877824917,3350918.59450465,3,2.79252181260381,-1.43873980082572
"736546",2015-08-05 06:35:57,-97.729794697,30.283781671,622163.255390355,3350914.27828524,3,-4.20889014459681,1.9533484922722
"736557",2015-08-05 06:36:00,-97.729925276,30.283835814,622150.628719921,3350920.13833072,3,2.78930314649673,-1.15096169694637
"736567",2015-08-05 06:36:03,-97.729838689,30.283803818,622158.99662936,3350916.68544563,3,-2.79252019365473,1.43870391339685
"736576",2015-08-05 06:36:06,-97.729925276,30.283843603,622150.619068779,3350921.00155737,3,5.53192429799431,-2.13592432718724
"736586",2015-08-05 06:36:09,-97.7297535,30.283784118,622167.214841673,3350914.59378439,3,0.479650175315328,-1.3350275970685
"736595",2015-08-05 06:36:12,-97.729739007,30.283747839,622168.653792199,3350910.5887016,3,-1.46952111863842,1.25616191203396
"736603",2015-08-05 06:36:15,-97.729784398,30.283782283,622164.245228843,3350914.35718733,3,1.48236886909581,0.334132837597281
"736612",2015-08-05 06:36:19,-97.729722603,30.283793743,622170.17470432,3350915.69371868,4,-2.47459654411068,-0.197200714610517
"736621",2015-08-05 06:36:21,-97.729774098,30.283790684,622165.225511232,3350915.29931725,2,-2.28438087560547,2.78636350420614
"736630",2015-08-05 06:36:24,-97.729844368,30.283866791,622158.372368605,3350923.65840777,3,-1.51983466994716,1.11332807538565
"736639",2015-08-05 06:36:28,-97.729907048,30.283907582,622152.293029925,3350928.11172007,4,2.68746173317777,-3.61299357446842
"736648",2015-08-05 06:36:30,-97.729852013,30.283841847,622157.667953391,3350920.88573292,2,-0.221991343656555,-0.599061148085942
"736657",2015-08-05 06:36:33,-97.729859145,30.2838257,622157.00197936,3350919.08854948,3,-0.799974511299903,0.445463665605833
"736665",2015-08-05 06:36:36,-97.729883938,30.283837999,622154.602055826,3350920.42494047,3,-1.26672092192651,0.629449697677046
"736673",2015-08-05 06:36:39,-97.729923223,30.283855419,622150.801893061,3350922.31328957,3,-0.675955856956231,-0.0899485863434772
"736681",2015-08-05 06:36:42,-97.729944335,30.283853189,622148.77402549,3350922.04344381,3,0.0933665958388398,-0.332031036106249
"736690",2015-08-05 06:36:45,-97.729941539,30.283844174,622149.054125277,3350921.0473507,3,0.00321741902735084,-0.287779157515615
"736699",2015-08-05 06:36:48,-97.729941539,30.283836384,622149.063777534,3350920.18401323,3,-0.473158878157847,-0.716662550034622
"736709",2015-08-05 06:36:51,-97.729956545,30.28381713,622147.6443009,3350918.03402558,3,0.0933665885822847,-0.33203104386727
"736719",2015-08-05 06:36:54,-97.729953749,30.283808115,622147.924400666,3350917.03793244,3,0.469995846312183,-0.471727844327688
"736730",2015-08-05 06:36:57,-97.729939256,30.283795205,622149.334388205,3350915.62274891,3,0.429747315628144,-0.881252116368463
"736740",2015-08-05 06:37:00,-97.729926161,30.283771223,622150.623630152,3350912.97899256,3,-0.452708837867249,0.295703585143201
"736751",2015-08-05 06:37:04,-97.729944848,30.283782077,622148.8127948,3350914.1618069,4,-0.905417475500144,0.591407315107062
"736761",2015-08-05 06:37:06,-97.729963535,30.283792931,622147.001959849,3350915.34462153,2,-0.00241301930509508,0.21583436569199
"736771",2015-08-05 06:37:10,-97.729963535,30.283800721,622146.992307772,3350916.207959,4,-0.417696006712504,0.171178227290511
"736780",2015-08-05 06:37:14,-97.729980824,30.283807067,622145.321523745,3350916.8926719,4,-0.849869637517259,1.63736277143471
"736790",2015-08-05 06:37:16,-97.729998113,30.283836783,622143.62178447,3350920.16739745,2,-0.653543399802099,0.848047685964654
"736800",2015-08-05 06:37:19,-97.730018199,30.283859934,622141.661154271,3350922.71154051,3,-0.746877319722747,1.18007926130667
"736809",2015-08-05 06:37:22,-97.73004108,30.2838921,622139.420522311,3350926.25177829,3,-0.135224267025478,0.0664333470631391
"736818",2015-08-05 06:37:24,-97.730043876,30.283893326,622139.150073777,3350926.38464498,2,0.376629176316783,-0.139734043739736
"736827",2015-08-05 06:37:27,-97.730032179,30.28388943,622140.279961306,3350925.96544285,3,-0.0350125159311574,0.12452551687602
"736836",2015-08-05 06:37:31,-97.730033577,30.283893938,622140.139911243,3350926.46354492,4,0.0466833545748765,-0.166034022501359
"736846",2015-08-05 06:37:34,-97.730032179,30.28388943,622140.279961306,3350925.96544285,3,0.569774199548798,0.0968892889407774
"736856",2015-08-05 06:37:37,-97.730014376,30.28389188,622141.989283905,3350926.25611072,3,0,0
"736218",2015-08-05 06:37:40,-97.730014376,30.28389188,622141.989283905,3350926.25611072,3,-0.0651992159546353,-0.182617709273472
"736226",2015-08-05 06:37:42,-97.730015774,30.283888598,622141.858885473,3350925.8908753,2,0.0466833829802151,-0.166034016137322
"736235",2015-08-05 06:37:45,-97.730014376,30.28388409,622141.998935622,3350925.39277325,3,0.469995653101554,-0.471765026605378
"736244",2015-08-05 06:37:48,-97.729999883,30.283871179,622143.408922581,3350923.97747817,3,-0.33316314239831,0.261479079878579
"736253",2015-08-05 06:37:51,-97.730010182,30.283878357,622142.409433154,3350924.76191541,3,0.0466833953202392,-0.166034013653795
"736261",2015-08-05 06:37:54,-97.730008784,30.283873849,622142.54948334,3350924.26381337,3,0.170236254460178,-0.190903399256058
"736269",2015-08-05 06:37:58,-97.730001794,30.283866891,622143.230428358,3350923.50019977,4,-0.0048252844135277,0.431613320950419
"736277",2015-08-05 06:38:00,-97.730001794,30.28387468,622143.220777789,3350924.36342642,2,0,0
"736286",2015-08-05 06:38:03,-97.730001794,30.28387468,622143.220777789,3350924.36342642,3,0.102624410035787,-0.15771444956772
"736294",2015-08-05 06:38:07,-97.7299976,30.283868947,622143.631275429,3350923.73256862,4,-0.135224325815216,0.0664332960732281
"736302",2015-08-05 06:38:09,-97.730000396,30.283870173,622143.360826778,3350923.86543521,2,0.00321727234404534,-0.287779155342529
"736310",2015-08-05 06:38:12,-97.730000396,30.283862383,622143.370478595,3350923.00209774,3,0,0
"736317",2015-08-05 06:38:16,-97.730000396,30.283862383,622143.370478595,3350923.00209774,4,-0.560118117951788,-0.222067820373923
"736325",2015-08-05 06:38:18,-97.730012093,30.283858489,622142.250242359,3350922.5579621,2,0.0434661549904073,0.121745140446971
