"","timestamp","lon","lat","UTMlon","UTMlat","timediff","vLon","vLat"
"368398",2015-07-15 02:00:03,-97.730163837,30.283663196,622127.896877349,3350900.75118857,0,43.5003132415004,-12.6574279465713
"368410",2015-07-15 02:00:04,-97.729713103,30.283544613,622171.39719059,3350888.09376062,1,0.13422521087341,0.905602547992021
"368422",2015-07-15 02:00:09,-97.7297056,30.283585397,622172.068316645,3350892.62177336,5,-8.16264231648529,4.24458403233439
"368433",2015-07-15 02:00:13,-97.730043044,30.283741869,622139.417747379,3350909.60010949,4,12.8970470972126,-3.77860773191787
"368444",2015-07-15 02:00:15,-97.729775781,30.283671086,622165.211841573,3350902.04289403,2,5.9584051440858,-2.72938977026691
"368455",2015-07-15 02:00:18,-97.729590912,30.283595409,622183.087057005,3350893.85472471,3,1.14276462855438,-1.57016652077436
"368467",2015-07-15 02:00:21,-97.729555821,30.283552565,622186.515350891,3350889.14422515,3,0.650239356444217,0.915866400115192
"368479",2015-07-15 02:00:24,-97.729535223,30.283577157,622188.46606896,3350891.89182435,3,-0.333164802597215,0.26144081990545
"368491",2015-07-15 02:00:27,-97.729545522,30.283584334,622187.466574552,3350892.67614681,3,-1.45983918240139,0.392859300753723
"368503",2015-07-15 02:00:30,-97.729590912,30.283595409,622183.087057005,3350893.85472471,3,-0.943215006768393,1.23126907988141
"368515",2015-07-15 02:00:33,-97.729619898,30.28362902,622180.257411985,3350897.54853195,3,-3.19331080652773,1.2062926197735
"368528",2015-07-15 02:00:36,-97.729719065,30.283662636,622170.677479565,3350901.16740981,3,-1.69966245896649,1.06035672896542
"368541",2015-07-15 02:00:38,-97.729754156,30.283682112,622167.278154647,3350903.28812327,2,-0.948820479097776,2.26189249730669
"368553",2015-07-15 02:00:40,-97.729773357,30.283723117,622165.380513689,3350907.81190827,2,-0.317697103042155,0.187602726090699
"368566",2015-07-15 02:00:45,-97.729789761,30.28373174,622163.792028174,3350908.7499219,5,0,0
"368579",2015-07-15 02:00:48,-97.729789761,30.28373174,622163.792028174,3350908.7499219,3,0.329946743402009,0.0262637644385298
"368592",2015-07-15 02:00:51,-97.729779462,30.283732351,622164.781868404,3350908.82871319,3,0.659892649933075,0.0526015035187205
"368604",2015-07-15 02:00:54,-97.729758864,30.283733575,622166.761546354,3350908.9865177,3,-0.46999731392134,0.471764066722244
"368617",2015-07-15 02:00:57,-97.729773357,30.283746486,622165.351554412,3350910.4018099,3,-2.46020243817475,0.722104008542374
"368630",2015-07-15 02:00:59,-97.729824339,30.283760012,622160.431149536,3350911.84601792,2,-0.0651749685348477,-0.182617553859018
"367630",2015-07-15 02:01:03,-97.729827134,30.283753448,622160.170449662,3350911.1155477,4,-1.0333602267007,1.27552276616916
"367643",2015-07-15 02:01:06,-97.729858916,30.283788284,622157.070368982,3350914.942116,3,-1.83655098755844,2.00872914260253
"367658",2015-07-15 02:01:09,-97.729915491,30.283843208,622151.560716019,3350920.96830343,3,-2.58977534105846,2.28819810754309
"367671",2015-07-15 02:01:12,-97.729995459,30.283905924,622143.791389996,3350927.83289775,3,-2.26307527984803,2.60224161157385
"367684",2015-07-15 02:01:15,-97.730065129,30.283977041,622137.002164156,3350935.63962259,3,-2.32992316700984,3.30165464384481
"367698",2015-07-15 02:01:17,-97.730112803,30.284037086,622132.342317822,3350942.24293187,2,-0.635005789226852,1.56572430650704
"367712",2015-07-15 02:01:21,-97.73013848,30.284093846,622129.802294665,3350948.5058291,4,-0.0934177580832814,1.80820072814822
"367726",2015-07-15 02:01:24,-97.730140763,30.284142815,622129.522041391,3350953.93043128,3,-7.85830779932439e-05,2.21430974081159
"367740",2015-07-15 02:01:26,-97.73014025,30.28418277,622129.521884225,3350958.35905077,2,-1.17986636306159,2.3491117975985
"367754",2015-07-15 02:01:29,-97.730176227,30.284246708,622125.982285136,3350965.40638616,3,-0.226980852040773,0.254575138911605
"367768",2015-07-15 02:01:32,-97.730183217,30.284253667,622125.30134258,3350966.17011158,3,-0.142460947827203,0.713881207862869
"367781",2015-07-15 02:01:36,-97.730188809,30.284279487,622124.731498788,3350969.02563641,4,1.55000804741091,-0.437155350577086
"367795",2015-07-15 02:01:39,-97.730140622,30.284267186,622129.381522931,3350967.71417035,3,1.64015761367045,-0.481443633014957
"367809",2015-07-15 02:01:42,-97.730089639,30.284253659,622134.301995772,3350966.26983946,3,1.31343018802969,-0.795485124768068
"367822",2015-07-15 02:01:45,-97.730048955,30.284231731,622138.242286336,3350963.88338408,3,0.893336777963365,-0.777495867883166
