"","timestamp","lon","lat","UTMlon","UTMlat","timediff","vLon","vLat"
"354657",2015-07-14 11:31:24,-97.73007403,30.284080974,622136.017267716,3350947.14856964,0,0.197739007234174,0.548447067804989
"354756",2015-07-14 11:31:45,-97.730029524,30.284184465,622140.169786868,3350958.66595806,21,-2.15835796575993,-7.17188244111215
"354770",2015-07-14 11:31:48,-97.730099336,30.283991004,622133.694712971,3350937.15031074,3,1.1684901745175,4.35168166528456
"354785",2015-07-14 11:31:52,-97.730048725,30.284147576,622138.368673669,3350954.5570374,4,0.276843912821884,0.767837123246863
"354811",2015-07-14 11:31:58,-97.730030922,30.284188973,622140.029737146,3350959.16406014,6,-2.16479117694932,-6.59639799206828
"354825",2015-07-14 11:32:01,-97.730100734,30.28401109,622133.535363615,3350939.37486616,3,0.610404769637777,1.84105412642627
"354866",2015-07-14 11:32:13,-97.730022021,30.284209671,622140.860220851,3350961.46751568,12,0.389494739783307,1.45056091842707
"354921",2015-07-14 11:32:25,-97.72997141,30.284366243,622145.534157728,3350978.8742467,12,-2.66853970161173,-8.5858126442569
"354936",2015-07-14 11:32:28,-97.730057626,30.284134667,622137.528538623,3350953.11680877,3,-2.93891757369662,-9.92914910521358
"354950",2015-07-14 11:32:31,-97.730152742,30.283866814,622128.711785902,3350923.32936145,3,0.862535089899955,3.11959717054428
"354993",2015-07-14 11:32:42,-97.730050123,30.284175452,622138.199671891,3350957.64493033,11,-1.05741325730924,-3.52508677247291
"355007",2015-07-14 11:32:45,-97.730084329,30.284080362,622135.027432119,3350947.06967001,3,-0.410418124694843,-1.58334081224166
"355020",2015-07-14 11:32:47,-97.73009323,30.284051875,622134.20659587,3350943.90298839,2,0.612676732474938,2.09410621572493
"355048",2015-07-14 11:32:56,-97.730033718,30.284221356,622139.720686462,3350962.74994433,9,-1.19746836317548,-3.76510667940602
"355078",2015-07-14 11:33:02,-97.730111033,30.284018268,622132.535876283,3350940.15930425,6,3.37751437202678,11.3669050666504
"355091",2015-07-14 11:33:06,-97.729965305,30.284427114,622146.045933771,3350985.62692452,4,-1.23983902860588,-4.2287947083306
"355118",2015-07-14 11:33:15,-97.730085727,30.28408487,622134.887382514,3350947.56777215,9,-0.289708273773278,-1.0373836860894
"355183",2015-07-14 11:33:34,-97.730145239,30.283907599,622129.382925312,3350927.85748211,19,0.254792412151941,0.77516583722228
"354216",2015-07-14 11:33:47,-97.730109635,30.283998181,622132.69522667,3350937.93463799,13,-0.183480490865703,-0.607805204319043
"354232",2015-07-14 11:33:56,-97.730127437,30.283948995,622131.043902252,3350932.46439115,9,1.56733000548556,5.76906487951055
"354261",2015-07-14 11:34:01,-97.730042619,30.284208447,622138.88055228,3350961.30971555,5,-2.16157477232628,-6.88413998872663
"354277",2015-07-14 11:34:04,-97.730112431,30.284022775,622132.395827963,3350940.65729559,3,1.56732788588852,5.76906519969925
"354294",2015-07-14 11:34:09,-97.730027613,30.284282227,622140.232467392,3350969.50262158,5,-2.33697440824471,-8.70341947418638
"354310",2015-07-14 11:34:11,-97.730078224,30.284125654,622135.558518576,3350952.09578264,2,0.188908635231201,0.746043743391056
"354341",2015-07-14 11:34:19,-97.73006182,30.284179348,622137.069787658,3350958.06413258,8,-1.05744563054759,-3.52508701275413
"354354",2015-07-14 11:34:22,-97.730096027,30.284084258,622133.897450766,3350947.48887155,3,-0.420068107254338,-0.720114118652418
"354368",2015-07-14 11:34:24,-97.730104928,30.284071349,622133.057314551,3350946.04864331,2,-0.205208916944684,-0.791698069311678
"354382",2015-07-14 11:34:28,-97.730113829,30.284042861,622132.236478884,3350942.88185103,4,0.0498993558188279,-0.453739325515926
"354397",2015-07-14 11:34:31,-97.730112431,30.284030565,622132.386176951,3350941.52063305,3,0.535474498465192,2.10715102707036
"354436",2015-07-14 11:34:41,-97.730054317,30.284220132,622137.740921936,3350962.59214332,10,-0.271984716227356,-1.93754428714359
"354480",2015-07-14 11:34:53,-97.730090948,30.284010695,622134.477105341,3350939.34161188,12,0.970567179882588,1.80542718758807
"354495",2015-07-14 11:34:56,-97.73006005,30.284059267,622137.388806881,3350944.75789344,3,-0.00241254537831992,0.215806663502008
"354509",2015-07-14 11:35:00,-97.73006005,30.284067056,622137.379156699,3350945.6211201,4,-0.354869404574856,-0.537441160297021
"354524",2015-07-14 11:35:02,-97.730067553,30.28405743,622136.66941789,3350944.54623778,2,0.0277745180064812,0.522922169417143
"354536",2015-07-14 11:35:06,-97.730066155,30.28407629,622136.780515962,3350946.63792645,4,0.0434661046989883,0.121745123683165
"354550",2015-07-14 11:35:09,-97.730064757,30.284079572,622136.910914276,3350947.00316182,3,-0.00643384817522019,0.575521379864464
"354563",2015-07-14 11:35:12,-97.730064757,30.284095151,622136.891612732,3350948.72972596,3,-0.276828548172489,-0.767818380302439
"354574",2015-07-14 11:35:15,-97.730073658,30.284074453,622136.061127087,3350946.42627082,3,-0.276860734176201,-0.767818711387614
"354589",2015-07-14 11:35:18,-97.73008256,30.284053755,622135.230544885,3350944.12281469,3,0.490116892498918,0.47106343624182
"354602",2015-07-14 11:35:22,-97.730061961,30.284070557,622137.191012455,3350946.00706843,4,-0.373411349408949,-0.148045030112068
"354614",2015-07-14 11:35:25,-97.730073658,30.284066663,622136.070778406,3350945.56293334,3,0.326728111055369,0.314079065962384
"354629",2015-07-14 11:35:28,-97.730063359,30.284075065,622137.05096274,3350946.50517054,3,0.214859340427211,-0.0715838943142444
"354643",2015-07-14 11:35:32,-97.730054458,30.284072395,622137.910400101,3350946.21883496,4,-0.490092144813389,-0.471118638059124
"354658",2015-07-14 11:35:34,-97.730064757,30.284063993,622136.930215812,3350945.27659769,2,-0.0402494012766207,-0.409487340599298
"354673",2015-07-14 11:35:37,-97.730066155,30.284052922,622136.809467608,3350944.04813567,3,0.455080337938853,0.595588762313128
"354686",2015-07-14 11:35:41,-97.730046955,30.284074232,622138.62978896,3350946.43049071,4,-0.305420120857889,-0.84979035158176
"354702",2015-07-14 11:35:45,-97.73006005,30.284043688,622137.408108476,3350943.03132931,4,-0.0434661171166226,-0.121745124459267
"354716",2015-07-14 11:35:48,-97.730061448,30.284040406,622137.277710125,3350942.66609394,3,-0.277646080765408,-0.326840433524922
"354729",2015-07-14 11:35:52,-97.730073145,30.284028723,622136.167125802,3350941.3587322,4,0.0748499043402262,-0.680664382176474
"354741",2015-07-14 11:35:54,-97.730071747,30.284016426,622136.31682561,3350939.99740344,2,-0.366978245632102,-0.723529420637836
"354757",2015-07-14 11:35:57,-97.730083444,30.283996954,622135.215890873,3350937.82681517,3,0.0024128055665642,-0.215834367205389
"354771",2015-07-14 11:36:01,-97.730083444,30.283989164,622135.225542096,3350936.96347771,4,-0.555340679653455,-0.653681281255558
"354786",2015-07-14 11:36:03,-97.730095142,30.283977481,622134.114860736,3350935.65611514,2,0.326760950886334,0.314042407553643
"354799",2015-07-14 11:36:06,-97.730084842,30.283985882,622135.095143589,3350936.59824237,3,0.280045583184498,0.480076120390246
"354812",2015-07-14 11:36:09,-97.730075941,30.283998791,622135.935280339,3350938.03847073,3,-0.280058732343605,-0.111033731722273
"354826",2015-07-14 11:36:13,-97.730087638,30.283994897,622134.815045409,3350937.5943358,4,0.00321665029817571,-0.287742213966946
"354840",2015-07-14 11:36:16,-97.730087638,30.283987108,622134.82469536,3350936.73110916,3,-0.0466828208106259,0.165997101459652
"354853",2015-07-14 11:36:19,-97.730089036,30.283991615,622134.684646898,3350937.22910046,3,0.326728411445705,0.314079011635234
"354867",2015-07-14 11:36:22,-97.730078737,30.284000017,622135.664832132,3350938.1713375,3,0,0
"354880",2015-07-14 11:36:25,-97.730078737,30.284000017,622135.664832132,3350938.1713375,3,0,0
"354894",2015-07-14 11:36:28,-97.730078737,30.284000017,622135.664832132,3350938.1713375,3,-0.00241250559338368,0.215806660940871
"354906",2015-07-14 11:36:32,-97.730078737,30.284007806,622135.65518211,3350939.03456414,4,0.447842678928282,1.24303639691789
"354922",2015-07-14 11:36:36,-97.730059537,30.284052484,622137.446552825,3350944.00670973,4,0.373411387593175,0.148045075591654
"354937",2015-07-14 11:36:39,-97.73004784,30.284056378,622138.566786988,3350944.45084496,3,0.273611237294972,1.05559760797769
"354951",2015-07-14 11:36:42,-97.730038939,30.284084866,622139.3876207,3350947.61763778,3,0.00643397704698145,-0.57552138203755
"354965",2015-07-14 11:36:45,-97.730038939,30.284069287,622139.406922631,3350945.89107363,3,-0.230145185409735,-0.933852473739535
"354979",2015-07-14 11:36:48,-97.730046442,30.284044081,622138.716487075,3350943.08951621,3,0.329945315762113,0.0262999827973545
"354994",2015-07-14 11:36:51,-97.730036143,30.284044693,622139.706323022,3350943.16841616,3,0,0
"355008",2015-07-14 11:36:54,-97.730036143,30.284044693,622139.706323022,3350943.16841616,3,-0.323511384582768,-0.601821360954394
"355021",2015-07-14 11:36:57,-97.730046442,30.284028502,622138.735788869,3350941.36295208,3,-0.245046480122255,-0.235531626036391
"355035",2015-07-14 11:37:01,-97.730056741,30.284020101,622137.755602948,3350940.42082557,4,-0.00643387731785576,0.575521375518292
"355049",2015-07-14 11:37:04,-97.730056741,30.28403568,622137.736301316,3350942.1473897,3,0.333162517480863,-0.261479207469771
"355064",2015-07-14 11:37:07,-97.730046442,30.284028502,622138.735788869,3350941.36295208,3,-0.0531172029829274,0.741555407643318
"355079",2015-07-14 11:37:10,-97.73004784,30.284048589,622138.57643726,3350943.5876183,3,0.00321716931648552,-0.287779160309583
