"","timestamp","lon","lat","UTMlon","UTMlat","timediff","vLon","vLat"
"697341",2015-08-01 01:11:11,-97.730556414,30.284304238,622089.343384632,3350971.37352662,0,0.323513060070885,0.601819863698135
"697354",2015-08-01 01:11:14,-97.730546115,30.284320429,622090.313923813,3350973.17898621,3,1.09609360713512,-1.40421500817562
"697367",2015-08-01 01:11:17,-97.730512421,30.284282091,622093.602204634,3350968.96634119,3,-2.28876570658758,3.42816710053012
"697380",2015-08-01 01:11:20,-97.730582605,30.28437557,622086.735907514,3350979.25084249,3,-0.359728098323103,1.00127316848375
"697393",2015-08-01 01:11:24,-97.730597098,30.284411849,622085.296995121,3350983.25593516,4,-0.283294330894326,-0.192296031241616
"697406",2015-08-01 01:11:27,-97.730606,30.28440673,622084.447112128,3350982.67904707,3,-0.63978613744257,0.890268503455445
"697420",2015-08-01 01:11:29,-97.730619095,30.284422923,622083.167539853,3350984.45958407,2,-0.76614636706654,1.43047729584699
"697433",2015-08-01 01:11:32,-97.73064249,30.284461872,622080.869100752,3350988.75101596,3,-0.379841469189463,0.427478209293137
"697446",2015-08-01 01:11:35,-97.730654187,30.284473557,622079.729576345,3350990.03345059,3,-0.333159194521916,0.261443986867865
"697459",2015-08-01 01:11:38,-97.730664486,30.284480734,622078.730098761,3350990.81778255,3,-0.324739771313034,0.876775150187314
"697471",2015-08-01 01:11:42,-97.730677582,30.284512506,622077.431139676,3350994.32488315,4,-0.0563281770252312,1.02929781811933
"697484",2015-08-01 01:11:45,-97.73067898,30.284540382,622077.262155145,3350997.41277661,3,0.230148976979156,0.933851114629457
"697496",2015-08-01 01:11:48,-97.730671477,30.284565588,622077.952602076,3351000.21432995,3,11.9393684808165,-10.0594914079644
"697508",2015-08-01 01:11:53,-97.730056741,30.284105785,622137.64944448,3350949.91687291,5,2.69598196462418,-2.29510330082849
"697520",2015-08-01 01:11:56,-97.729973463,30.28404285,622145.737390374,3350943.03156301,3,0.814838903985219,-0.405681878095493
