"","timestamp","lon","lat","UTMlon","UTMlat","timediff","vLon","vLat"
"440365",2015-07-18 04:58:56,-97.731635352,30.287497155,621981.616438901,3351324.07374761,0,-15.0571239582884,2.97126008911679
"440378",2015-07-18 04:58:59,-97.732103913,30.287582125,621936.445067027,3351332.98752788,3,1.62522779976522,-1.41730248683598
"440417",2015-07-18 04:59:11,-97.731903139,30.287426718,621955.947800624,3351315.97989804,12,7.08710099124194,-1.95098449367409
"440428",2015-07-18 04:59:14,-97.731682789,30.287371771,621977.209103597,3351310.12694456,3,-5.79464216792258,5.24016789393499
"440440",2015-07-18 04:59:16,-97.731802053,30.287467492,621965.619819262,3351320.60728034,2,0.650262085992532,0.915817446696262
"440453",2015-07-18 04:59:19,-97.731781454,30.287492083,621967.57060552,3351323.35473268,3,-0.818444560747594,4.84134049783461
"440467",2015-07-18 04:59:21,-97.731797347,30.287579605,621965.933716398,3351333.03741368,2,-1.67071111954283,5.58736770250835
"440480",2015-07-18 04:59:25,-97.731864227,30.287781915,621959.25087192,3351355.38688449,4,-0.857135517755523,10.5087235078681
"440490",2015-07-18 04:59:27,-97.731879609,30.287971707,621957.536600884,3351376.40433151,2,0.220511362383453,1.7971127955243
"440501",2015-07-18 04:59:30,-97.731872106,30.288020281,621958.198134972,3351381.79566989,3,0.0563165503554046,-1.02926159867396
"440512",2015-07-18 04:59:33,-97.731870708,30.287992406,621958.367084623,3351378.7078851,3,-0.603579882493553,-1.08188874771198
"440523",2015-07-18 04:59:36,-97.731889909,30.287963306,621956.556344975,3351375.46221885,3,0.389493443304673,-1.29070860302697
"440534",2015-07-18 04:59:39,-97.731878211,30.287928254,621957.724825305,3351371.59009304,3,1.70286308585977,-0.610043206407378
"440544",2015-07-18 04:59:42,-97.731825315,30.287911228,621962.833414563,3351369.75996343,3,0.71945951684999,-1.26444985702013
"440556",2015-07-18 04:59:45,-97.731803317,30.287876787,621964.991793113,3351365.96661385,3,0.716214796722246,-0.976670858915895
"440568",2015-07-18 04:59:48,-97.73178132,30.287850136,621967.140437503,3351363.03660128,3,-0.410423207038548,-1.58333512209356
"440580",2015-07-18 04:59:50,-97.731790221,30.287821649,621966.319591089,3351359.86993103,2,0.2873022009735,-0.536417793133296
"440592",2015-07-18 04:59:54,-97.731778523,30.287802175,621967.468799893,3351357.72425986,4,2.05453189933905,-0.52289278106764
"440602",2015-07-18 04:59:56,-97.731735927,30.287792326,621971.577863692,3351356.6784743,2,0.333177881276545,-0.261446577341606
"440612",2015-07-18 04:59:59,-97.731725627,30.287785149,621972.577397336,3351355.89413457,3,1.64651598129421,0.419220184441656
"440621",2015-07-18 05:00:02,-97.73167413,30.287795998,621977.51694528,3351357.15179512,3,2.30644553205154,0.47181304404512
"440632",2015-07-18 05:00:05,-97.731602033,30.287808071,621984.436281876,3351358.56723425,3,1.97487290919526,0.589444626588374
"440644",2015-07-18 05:00:07,-97.731560835,30.287818309,621988.386027694,3351359.74612351,2,1.23250014989753,0.530223946203478
"440658",2015-07-18 05:00:11,-97.731509337,30.287836947,621993.316028294,3351361.86701929,4,1.47997340711299,0.54994670371525
"440671",2015-07-18 05:00:13,-97.731478438,30.287846572,621996.275975108,3351362.9669127,2,0.24503941059811,0.235528800520115
"440682",2015-07-18 05:00:17,-97.731468139,30.287854973,621997.25613275,3351363.9090279,4,0.91982606734382,0.327996280277148
"440695",2015-07-18 05:00:19,-97.731448938,30.287860706,621999.095784885,3351364.56502046,2,0.323537546132381,0.601781148929149
"440707",2015-07-18 05:00:22,-97.731438638,30.287876896,622000.066397523,3351366.37036391,3,0.490078504604753,0.471057783346623
"440721",2015-07-18 05:00:24,-97.731428339,30.287885297,622001.046554533,3351367.31247947,2,0.00241022085538134,-0.215806727181189
"440733",2015-07-18 05:00:28,-97.731428339,30.287877508,622001.056195416,3351366.44925256,4,0.490126550314017,0.471058366820216
"440746",2015-07-18 05:00:30,-97.731418039,30.287885909,622002.036448517,3351367.3913693,2,0.247449448972475,0.0197222098940983
"440758",2015-07-18 05:00:34,-97.73140774,30.287886521,622003.026246313,3351367.47025814,4,3.53450425196206,0.0270625236444175
"440769",2015-07-18 05:00:36,-97.731334245,30.287886297,622010.095254816,3351367.52438319,2,2.40626227898368,-0.435733270210524
"440782",2015-07-18 05:00:39,-97.731259351,30.287873776,622017.314041653,3351366.21718337,3,7.07222439756151,-0.233603480427215
"440794",2015-07-18 05:00:42,-97.731038866,30.287865315,622038.530714846,3351365.51637293,3,2.84941999208079,-4.8355655237101
"440828",2015-07-18 05:00:51,-97.730777321,30.287470092,622064.175494775,3351321.99628322,9,3.9308632571095,-0.873548345989548
"440872",2015-07-18 05:01:03,-97.730288163,30.287370762,622111.34585386,3351311.51370307,12,1.44860117416829,-4.86838995370393
