"","timestamp","lon","lat","UTMlon","UTMlat","timediff","vLon","vLat"
"398598",2015-07-16 10:54:36,-97.730177394,30.283832114,622126.383652569,3350919.45718148,0,8.18766135737921,7.60095730361839
"397496",2015-07-16 10:54:39,-97.7299194,30.284035364,622150.946636642,3350942.26005339,3,2.96951637405436,1.71283769126361
"397508",2015-07-16 10:54:42,-97.729826194,30.284080825,622159.855185764,3350947.39856647,3,-5.33692254358903,-2.62192628672346
"397520",2015-07-16 10:54:45,-97.729993548,30.284011475,622143.844418133,3350939.53278761,3,-2.02633538240722,-1.46789911032344
"397532",2015-07-16 10:54:48,-97.730057254,30.283972358,622137.765411986,3350935.12909027,3,0.859438307971383,-0.286335480709871
"397544",2015-07-16 10:54:51,-97.730030551,30.283964348,622140.34372691,3350934.27008383,3,-1.40671511747253,-0.348653084753702
"397556",2015-07-16 10:54:54,-97.730074543,30.283955337,622136.123581557,3350933.22412458,3,0.959185878396966,0.282244507533809
"397568",2015-07-16 10:54:57,-97.730044531,30.283962686,622139.001139192,3350934.0708581,3,-0.796723900828511,0.15772307679678
"397579",2015-07-16 10:55:00,-97.730069323,30.283967196,622136.61096749,3350934.54402733,3,0.236579426564276,0.358331035667409
"397590",2015-07-16 10:55:03,-97.73006182,30.283976823,622137.32070577,3350935.61902044,3,0.0402494303804512,0.409487337805331
"397601",2015-07-16 10:55:06,-97.730060422,30.283987894,622137.441454061,3350936.84748245,3,0.37019488782001,0.435787281487137
"397611",2015-07-16 10:55:09,-97.730048725,30.283999577,622138.552038724,3350938.1548443,3,0.519873878608147,0.550628519461801
"397621",2015-07-16 10:55:12,-97.73003232,30.284014323,622140.11166036,3350939.80672985,3,0.432909087549585,0.307174898218364
"397632",2015-07-16 10:55:15,-97.730018712,30.284022506,622141.410387623,3350940.72825455,3,-0.946370060206391,0.0428451234474778
"397643",2015-07-16 10:55:18,-97.730048211,30.284023952,622138.571277442,3350940.85678992,3,0.999433559365571,0.691805995069444
"397654",2015-07-16 10:55:21,-97.730016801,30.284042374,622141.56957812,3350942.9322079,3,0.853036075054357,0.289149633453538
"397665",2015-07-16 10:55:24,-97.729990097,30.284049942,622144.128686345,3350943.79965681,3,0.516623904268878,0.838407613802701
"397676",2015-07-16 10:55:27,-97.729973693,30.284072478,622145.678558058,3350946.31487965,3,0.610022084942708,0.50637700346609
"397687",2015-07-16 10:55:30,-97.729954492,30.284085999,622147.508624313,3350947.83401066,3,1.54995708206358,1.03901740101477
"397698",2015-07-16 10:55:33,-97.729905792,30.284113652,622152.158495559,3350950.95106286,3,0,0
"397710",2015-07-16 10:55:36,-97.729905792,30.284113652,622152.158495559,3350950.95106286,3,-2.47705587818443,-2.7227373442923
"397722",2015-07-16 10:55:39,-97.729983992,30.284040708,622144.727327925,3350942.78285083,3,-0.606773573090322,-0.794118692322324
"397734",2015-07-16 10:55:42,-97.730003192,30.284019398,622142.907007205,3350940.40049475,3,0.890035511809401,0.986452860602488
"397746",2015-07-16 10:55:45,-97.729975091,30.284045828,622145.577113741,3350943.35985333,3,-0.606773479065547,-0.794118743234625
