"","timestamp","lon","lat","UTMlon","UTMlat","timediff","vLon","vLat"
"78410",2015-07-01 23:30:25,-97.730043416,30.283654916,622139.489697646,3350899.96302397,0,2.90434250852559,6.63317466164008
"78446",2015-07-01 23:30:35,-97.729733786,30.284250431,622168.533122731,3350966.29477058,10,-8.3629943310516,-15.6408478349913
"78458",2015-07-01 23:30:37,-97.729911297,30.283969895,622151.807134069,3350935.01307491,2,-0.766597622253287,-4.99736965766463
"77587",2015-07-01 23:30:50,-97.730022446,30.283384779,622141.84136498,3350870.04726937,13,2.01830511771342,5.47081476892345
"77632",2015-07-01 23:31:04,-97.729719807,30.284072936,622170.097636628,3350946.63867613,14,-6.07906897643503,-12.4166392305245
"77655",2015-07-01 23:31:10,-97.730107634,30.283404478,622133.623222769,3350872.13884075,6,-0.526875936872481,5.20407490747877
"77710",2015-07-01 23:31:28,-97.730195337,30.284250555,622124.139455905,3350965.81218908,18,-2.00869846064597,3.90820013793806
"77723",2015-07-01 23:31:31,-97.730256619,30.284356942,622118.113360523,3350977.5367895,3,4.53078700665113,-0.838598393136635
"77765",2015-07-01 23:31:43,-97.72969259,30.284260668,622172.482804603,3350967.47360878,12,-0.301294324733317,-1.27998278550804
"77798",2015-07-01 23:31:53,-97.729725399,30.284145492,622169.469861356,3350954.67378092,10,-1.19505753197591,-0.870567131764255
"77874",2015-07-01 23:32:13,-97.729975887,30.283990818,622145.568710716,3350937.26243829,20,7.35700713749975,17.7388135103198
"77885",2015-07-01 23:32:16,-97.729740262,30.28446871,622167.639732129,3350990.47887882,3,-5.13993849899271,-11.8120500086807
"77897",2015-07-01 23:32:20,-97.729959483,30.284044511,622147.079978133,3350943.23067878,4,6.98051275968707,-7.00423553818837
"77909",2015-07-01 23:32:23,-97.729744228,30.283852822,622168.021516412,3350922.21797217,3,-1.36970093396182,0.34859160768489
"77932",2015-07-01 23:32:29,-97.729829417,30.283872521,622159.803310808,3350924.30952182,6,-5.45468998521877,4.71881441632286
"77944",2015-07-01 23:32:32,-97.729997884,30.284001891,622143.439240853,3350938.46596506,3,1.80267884667652,-1.51760610984638
"77967",2015-07-01 23:32:38,-97.729886504,30.283918649,622154.255313933,3350929.36032841,6,0.493309952241058,0.183321815760185
"77979",2015-07-01 23:32:44,-97.729855607,30.283928274,622157.215173646,3350930.4602593,6,-0.172747242406735,-2.05903996956638
