"","timestamp","lon","lat","UTMlon","UTMlat","timediff","vLon","vLat"
"726118",2015-08-04 18:43:59,-97.727094065,30.281341878,622426.042195709,3350646.79231761,0,14.0560635548706,-7.52567587327212
"726127",2015-08-04 18:44:02,-97.726658349,30.281133925,622468.210386374,3350624.21528999,3,11.8275998947793,-2.74522446794435
"726140",2015-08-04 18:44:04,-97.726413089,30.281081998,622491.865586163,3350618.72484105,2,7.63883305719355,-0.587050976464525
"726151",2015-08-04 18:44:06,-97.726254412,30.28106986,622507.143252278,3350617.5507391,2,0.276844572780343,0.767828376498073
"726160",2015-08-04 18:44:09,-97.72624551,30.281090558,622507.973785996,3350619.85422423,3,6.01482948001164,-3.75872992506872
"726169",2015-08-04 18:44:12,-97.726059249,30.280986999,622526.018274436,3350608.57803445,3,-3.66971252734462,-0.698763851542026
"726181",2015-08-04 18:44:15,-97.726173935,30.2809692,622515.009136854,3350606.4817429,3,10.0023966055014,-4.6959283342585
"726192",2015-08-04 18:44:17,-97.725967077,30.280882443,622535.013930065,3350597.08988623,2,-8.15867723078312,0.774548836362859
"726204",2015-08-04 18:44:20,-97.726221238,30.280905883,622510.537898373,3350599.41353274,3,0.0965072605176829,5.6009577405639
"726214",2015-08-04 18:44:22,-97.726217926,30.281006927,622510.730912894,3350610.61544822,2,14.686162363796,-6.81454804772511
"726225",2015-08-04 18:44:24,-97.725914185,30.280880994,622540.103237621,3350596.98635213,2,-5.12797145277727,5.03291209585344
"726236",2015-08-04 18:44:27,-97.726072343,30.281018771,622524.719323263,3350612.08508841,3,0.983411980016778,0.654381756670773
"726247",2015-08-04 18:44:30,-97.726041446,30.281036184,622527.669559203,3350614.04823368,3,-3.61659977290158,-1.4402820210283
"726257",2015-08-04 18:44:33,-97.726154735,30.280998299,622516.819759884,3350609.72738762,3,4.53887477098033,-1.92705081061771
"726267",2015-08-04 18:44:36,-97.726013862,30.280944764,622530.436384197,3350603.94623519,3,4.18399633700028,-1.72641478083096
"726277",2015-08-04 18:44:38,-97.725927278,30.280912766,622538.804376871,3350600.49340563,2,-5.3693774510175,-0.376438615067552
"726286",2015-08-04 18:44:41,-97.726094856,30.280904207,622522.696244518,3350599.36408978,3,3.3462136121622,0.0968962991610169
"726296",2015-08-04 18:44:44,-97.725990469,30.280905814,622532.734885355,3350599.65477868,3,-6.21683249354828,8.5310001752805
"726306",2015-08-04 18:44:46,-97.72611773,30.281061005,622520.301220367,3350616.71677903,2,-17.1825256355223,0.33579224278219
